bar,open,close,low,high,volume,length,timestamp
264,94399.6,94353.6,94353.6,94399.6,10.60117,726,2025-04-28
265,94353.6,94371.8,94311.6,94371.8,10.551466,1132,2025-04-28
266,94371.8,94411.4,94371.8,94420.8,10.640387,1265,2025-04-28
267,94411.3,94416.3,94395.9,94427.0,10.351560000000001,942,2025-04-28
268,94416.3,94438.4,94416.3,94440.0,10.07326,671,2025-04-28
269,94438.4,94353.8,94353.8,94438.5,11.350222,894,2025-04-28
270,94353.0,94380.3,94349.4,94391.3,10.559234,1148,2025-04-28
271,94380.3,94347.2,94347.2,94380.7,10.597057,1426,2025-04-28
272,94347.2,94388.9,94326.7,94401.0,10.52813,1228,2025-04-28
273,94388.9,94386.6,94386.6,94392.7,10.583943,319,2025-04-28
274,94386.6,94377.3,94371.8,94386.6,10.696692,579,2025-04-28
275,94377.3,94384.0,94372.0,94385.7,10.58165,523,2025-04-28
276,94384.0,94376.4,94337.0,94385.7,10.36463,1516,2025-04-28
277,94376.4,94450.0,94376.4,94450.1,10.765768,1289,2025-04-28
278,94450.0,94435.2,94432.2,94451.5,10.648961,652,2025-04-28
279,94435.2,94441.5,94395.1,94441.6,10.609832,941,2025-04-28
280,94441.5,94404.0,94403.9,94441.5,10.595329,851,2025-04-28
281,94404.0,94506.2,94404.0,94506.2,10.589372,1490,2025-04-28
282,94506.2,94580.7,94506.2,94580.8,10.573305,1705,2025-04-28
283,94580.7,94560.8,94552.6,94580.8,10.513034,893,2025-04-28
284,94560.7,94544.7,94503.6,94560.7,10.477859,1163,2025-04-28
285,94544.8,94514.6,94496.4,94550.3,10.744323,1340,2025-04-28
286,94514.6,94476.2,94476.2,94535.2,10.576574,1306,2025-04-28
287,94476.2,94502.4,94445.2,94502.4,10.526637,999,2025-04-28
288,94502.4,94479.8,94479.8,94542.0,10.63609,1009,2025-04-28
289,94479.8,94447.8,94447.7,94484.4,10.393805,1492,2025-04-28
290,94447.8,94448.2,94431.1,94465.0,10.779451,1253,2025-04-28
291,94448.2,94481.2,94448.2,94481.2,9.34687,352,2025-04-28
292,94481.2,94666.6,94481.1,94666.6,11.80402,1901,2025-04-28
293,94666.6,94622.7,94622.7,94675.8,10.440997,1382,2025-04-28
294,94622.8,94585.8,94581.0,94647.2,10.697189,1431,2025-04-28
295,94585.8,94620.3,94577.1,94634.5,10.580147,1325,2025-04-28
296,94620.3,94621.3,94609.3,94654.7,10.41506,1323,2025-04-28
297,94621.3,94601.6,94595.6,94621.3,10.719949,243,2025-04-28
298,94601.6,94662.8,94601.6,94662.9,10.454796,1330,2025-04-28
299,94662.8,94583.0,94583.0,94662.8,10.664055,1055,2025-04-28
300,94583.0,94603.3,94548.8,94609.3,10.589186,1231,2025-04-28
301,94603.3,94563.7,94563.7,94622.6,10.572108,1132,2025-04-28
302,94563.7,94577.8,94554.1,94600.0,10.569591,1120,2025-04-28
303,94577.8,94546.7,94545.0,94580.0,10.580053,1041,2025-04-28
304,94546.7,94544.2,94544.2,94579.9,10.463832,1013,2025-04-28
305,94544.2,94504.1,94497.5,94544.2,10.684249,573,2025-04-28
306,94504.1,94540.0,94480.7,94540.6,10.484293,1715,2025-04-28
307,94540.0,94559.0,94540.0,94559.0,10.67934,204,2025-04-28
308,94559.2,94590.2,94559.2,94626.7,10.447981,1329,2025-04-28
